epoch,loss_sup,val_dice,val_iou
1,0.7040006717046102,0.4072644114494324,0.26489970088005066
2,0.6045180956522623,0.4711838662624359,0.32319149374961853
3,0.5643675327301025,0.434273362159729,0.2873966693878174
4,0.5328109264373779,0.48995643854141235,0.3422422409057617
5,0.4505502184232076,0.46174412965774536,0.3128746747970581
6,0.5959738691647848,0.5412282347679138,0.3811732530593872
7,0.5510718325773875,0.5466675758361816,0.38423022627830505
8,0.5337613821029663,0.5461973547935486,0.3857399821281433
9,0.4797235329945882,0.4775230288505554,0.323404461145401
10,0.5092177589734396,0.4665676951408386,0.3141396641731262
11,0.4859207570552826,0.5694483518600464,0.4201967120170593
12,0.4814111093680064,0.6548444032669067,0.5161677598953247
13,0.4471731980641683,0.6662985682487488,0.5346261262893677
14,0.41919733087221783,0.6928662061691284,0.5686343908309937
15,0.428212970495224,0.5817205905914307,0.4357282221317291
16,0.5203427771727244,0.5812921524047852,0.44209063053131104
17,0.45316822330156964,0.5927151441574097,0.45305606722831726
18,0.4235772391160329,0.6625494956970215,0.5252505540847778
19,0.4177597959836324,0.668367862701416,0.5332623720169067
20,0.5013539592425028,0.651647686958313,0.5137302875518799
21,0.4332288404305776,0.6210026741027832,0.47680795192718506
22,0.3754862646261851,0.6165266036987305,0.47112134099006653
23,0.42510636647542316,0.6627296209335327,0.5252580642700195
24,0.39500049750010174,0.6853578686714172,0.5561309456825256
25,0.39398645361264545,0.673028826713562,0.542605996131897
26,0.36246804396311444,0.6708695888519287,0.5392441153526306
27,0.3420103092988332,0.6712149381637573,0.5385018587112427
28,0.3826026916503906,0.6735849380493164,0.5431920289993286
29,0.32217898964881897,0.6741573810577393,0.5491973757743835
30,0.3763582209746043,0.6921048164367676,0.5688223838806152
31,0.34369101126988727,0.7160221338272095,0.5930152535438538
32,0.38631901144981384,0.7180025577545166,0.5952754020690918
33,0.32935158411661786,0.7117865085601807,0.5882872939109802
34,0.3476392428080241,0.6688820123672485,0.5380815863609314
35,0.3328103721141815,0.6307949423789978,0.49779772758483887
36,0.3678938150405884,0.6414950489997864,0.512934148311615
37,0.40024567643801373,0.6818218231201172,0.5547401905059814
38,0.35318949818611145,0.7157160043716431,0.5867054462432861
39,0.3548375765482585,0.7381032705307007,0.6124985814094543
40,0.350775142510732,0.7186391949653625,0.5949673652648926
41,0.344148854414622,0.7115319967269897,0.5861011743545532
42,0.32904212673505145,0.7221062183380127,0.5961406826972961
43,0.3445250689983368,0.7173905372619629,0.5899425745010376
44,0.3479475975036621,0.6779929399490356,0.5502346754074097
45,0.35697871446609497,0.6655763387680054,0.5308007001876831
46,0.3313491940498352,0.6768633127212524,0.5414223670959473
47,0.38693705201148987,0.7349291443824768,0.608594536781311
48,0.3372874855995178,0.7477493286132812,0.6253660321235657
49,0.3073725998401642,0.747543454170227,0.6275414228439331
50,0.3340494434038798,0.7087494134902954,0.584226667881012
51,0.3479694028695424,0.6670457124710083,0.5349290370941162
52,0.3554565906524658,0.6473591327667236,0.5119041204452515
53,0.32555792729059857,0.6555608510971069,0.5145531296730042
54,0.31463014086087543,0.6924470663070679,0.5649327635765076
55,0.38698187470436096,0.6888253092765808,0.5682322382926941
56,0.3098723590373993,0.6958522796630859,0.5769319534301758
57,0.3295934498310089,0.6868759393692017,0.5645060539245605
58,0.35287011663119,0.6642136573791504,0.533083438873291
59,0.3024455706278483,0.6779354810714722,0.5480281114578247
60,0.3369585374991099,0.6978937387466431,0.5710670351982117
61,0.33625603715578717,0.7163336277008057,0.5949302911758423
