epoch,loss_sup,loss_consistency,lam,val_dice,val_iou
1,0.3572549323240916,0.05286060749009872,0.024471741852423234,0.5486133098602295,0.40414702892303467
2,0.3922439416249593,0.034155890345573425,0.09549150281252627,0.7382820844650269,0.6116973757743835
3,0.284206748008728,0.017299266532063484,0.20610737385376343,0.7433809041976929,0.6351605653762817
4,0.3145217498143514,0.023943960666656494,0.3454915028125263,0.692832887172699,0.5720162391662598
5,0.3359723389148712,0.024617031837503116,0.49999999999999994,0.6834492683410645,0.552685022354126
6,0.2864815394083659,0.017075498898824055,0.6545084971874737,0.7091985940933228,0.5760616660118103
7,0.3123178382714589,0.01022034821410974,0.7938926261462365,0.7268365025520325,0.5976099967956543
8,0.3493191599845886,0.009876651223748922,0.9045084971874737,0.7376877665519714,0.6131383180618286
9,0.22888595859209696,0.00866275280714035,0.9755282581475768,0.7573134899139404,0.6411365270614624
10,0.2618580162525177,0.008158429681013027,1.0,0.7369292974472046,0.6189579963684082
11,0.3882950246334076,0.014095631738503775,1.0,0.678622841835022,0.5561164021492004
12,0.38267571727434796,0.024788014590740204,1.0,0.7059817314147949,0.5848643779754639
13,0.2943037648995717,0.010403159074485302,1.0,0.753437876701355,0.6389756202697754
14,0.30491424600283307,0.007999557380874952,1.0,0.7751013040542603,0.6608808040618896
15,0.29459161559740704,0.008261907224853834,1.0,0.7682662010192871,0.6497706174850464
16,0.3072231511274974,0.008511522008726994,1.0,0.7479907274246216,0.6242807507514954
17,0.2513063649336497,0.00696706057836612,1.0,0.7269409894943237,0.5991363525390625
18,0.3534487883249919,0.007303741139670213,1.0,0.72608882188797,0.600637674331665
19,0.28662346800168353,0.01632215299954017,1.0,0.7082872986793518,0.5813749432563782
20,0.30967911084493,0.016433763317763805,1.0,0.724004328250885,0.6019788980484009
21,0.2692178189754486,0.011196695578595003,1.0,0.7522645592689514,0.6371700763702393
22,0.35105835398038227,0.008332318936785063,1.0,0.7781303524971008,0.6665149927139282
23,0.23107562959194183,0.006293894878278176,1.0,0.7713646292686462,0.6529989838600159
24,0.2644406904776891,0.007528277114033699,1.0,0.7543381452560425,0.6306780576705933
25,0.3398357331752777,0.005254474623749654,1.0,0.7167055606842041,0.5888679027557373
26,0.3246312340100606,0.007489301419506471,1.0,0.7171571254730225,0.5920239686965942
27,0.3005422552426656,0.008957680314779282,1.0,0.7446504235267639,0.6281073093414307
28,0.22644549111525217,0.00901584435875217,1.0,0.758353590965271,0.6440457105636597
29,0.31592388947804767,0.00830390319849054,1.0,0.7494461536407471,0.6323044300079346
30,0.2616117497285207,0.006471661074707906,1.0,0.713732123374939,0.5861831903457642
31,0.23733466863632202,0.006467363021026055,1.0,0.7250072956085205,0.5968964099884033
32,0.2332822730143865,0.0051789927917222185,1.0,0.7620485424995422,0.6391584873199463
33,0.31319830814997357,0.007527621618161599,1.0,0.7507280111312866,0.6313403248786926
34,0.21548939744631448,0.006493286695331335,1.0,0.7386499047279358,0.6166244745254517
35,0.24603459239006042,0.007515190790096919,1.0,0.7570347785949707,0.6380555629730225
36,0.24044167002042136,0.006112693653752406,1.0,0.7649375796318054,0.6476956605911255
37,0.23464977741241455,0.005489857246478398,1.0,0.7673020362854004,0.6509017944335938
38,0.2493636558453242,0.00556785116593043,1.0,0.7701963186264038,0.6553190350532532
39,0.21786409119764963,0.003548641766731938,1.0,0.7519445419311523,0.6320692300796509
40,0.2396604617436727,0.004529890138655901,1.0,0.7281057834625244,0.6034566164016724
41,0.25253263612588245,0.006570391667385896,1.0,0.713219404220581,0.585944652557373
42,0.27532777190208435,0.0066534777482350664,1.0,0.7236365079879761,0.5989062786102295
43,0.24613971511522928,0.0069032640506823855,1.0,0.7544980049133301,0.6372352242469788
44,0.2384739319483439,0.006354984516898791,1.0,0.7629428505897522,0.6492444276809692
